,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
0,619,0,1,42,2,0,1,1,1,101348,1
1,608,1,1,41,1,83807,1,0,1,112542,0
2,502,0,1,42,8,159660,3,1,0,113931,1
3,699,0,1,39,1,0,2,0,0,93826,0
4,850,1,1,43,2,125510,1,1,1,79084,0
5,645,1,0,44,8,113755,2,1,0,149756,1
6,822,0,0,50,7,0,2,1,1,10062,0
7,376,2,1,29,4,115046,4,1,0,119346,1
8,501,0,0,44,4,142051,2,0,1,74940,0
9,684,0,0,27,2,134603,1,1,1,71725,0
10,528,0,0,31,6,102016,2,0,0,80181,0
11,497,1,0,24,3,0,2,1,0,76390,0
12,476,0,1,34,10,0,2,1,0,26260,0
13,549,0,1,25,5,0,2,0,0,190857,0
14,635,1,1,35,7,0,2,1,1,65951,0
15,616,2,0,45,3,143129,2,0,1,64327,0
16,653,2,0,58,1,132602,1,1,0,5097,1
17,549,1,1,24,9,0,2,1,1,14406,0
18,587,1,0,45,6,0,1,0,0,158684,0
19,726,0,1,24,6,0,2,1,1,54724,0
20,732,0,0,41,8,0,2,1,1,170886,0
21,636,1,1,32,8,0,2,1,0,138555,0
22,510,1,1,38,4,0,1,1,0,118913,1
23,669,0,0,46,3,0,2,0,1,8487,0
24,846,0,1,38,5,0,1,1,1,187616,0
25,577,0,0,25,3,0,2,0,1,124508,0
26,756,2,0,36,2,136815,1,1,1,170041,0
27,571,0,0,44,9,0,2,0,0,38433,0
28,574,2,1,43,3,141349,1,1,1,100187,0
29,411,0,0,29,0,59697,2,1,1,53483,0
30,591,1,1,39,3,0,3,1,0,140469,1
31,533,0,0,36,7,85311,1,0,1,156731,0
32,553,2,0,41,9,110112,2,0,0,81898,0
33,520,1,1,42,6,0,2,1,1,34410,0
34,722,1,1,29,9,0,2,1,1,142033,0
35,475,0,1,45,0,134264,1,1,0,27822,1
36,490,1,0,31,3,145260,1,0,1,114066,0
37,804,1,0,33,7,76548,1,0,1,98453,0
38,850,0,0,36,7,0,1,1,1,40812,0
39,582,2,0,41,6,70349,2,0,1,178074,0
40,472,1,0,40,4,0,1,1,0,70154,0
41,465,0,1,51,8,122522,1,0,0,181297,1
42,556,0,1,61,2,117419,1,1,1,94153,0
43,834,0,1,49,2,131394,1,0,0,194365,1
44,660,1,1,61,5,155931,1,1,1,158338,0
45,776,2,1,32,4,109421,2,1,1,126517,0
46,829,2,1,27,9,112045,1,1,1,119708,1
47,637,2,1,39,9,137843,1,1,1,117622,1
48,550,2,0,38,2,103391,1,0,1,90878,0
49,776,2,1,37,2,103769,2,1,0,194099,0
50,698,2,0,44,10,116363,2,1,0,198059,0
51,585,2,0,36,5,146050,2,0,0,86424,0
52,788,0,1,33,5,0,2,0,0,116978,0
53,655,2,0,41,8,125561,1,0,0,164040,1
54,601,2,0,42,1,98495,1,1,0,40014,1
55,619,0,0,43,1,125211,1,1,1,113410,0
56,656,0,0,45,5,127864,1,1,0,87107,0
57,725,2,0,19,0,75888,1,0,0,45613,0
58,511,1,1,66,4,0,1,1,0,1643,1
59,614,0,0,51,4,40685,1,1,1,46775,0
60,742,2,0,35,5,136857,1,0,0,84509,0
61,687,2,1,27,9,152328,2,0,0,126494,0
62,555,1,0,33,1,56084,2,0,0,178798,0
63,684,1,0,56,8,78707,1,1,1,99398,0
64,603,2,0,26,4,109166,1,1,1,92840,0
65,751,2,1,36,6,169831,2,1,1,27758,0
66,581,2,1,34,1,101633,1,1,0,110431,0
67,735,2,0,43,10,123180,2,1,1,196673,0
68,661,2,1,35,5,150725,2,0,1,113656,0
69,675,0,1,21,8,98373,1,1,0,18203,0
70,738,2,0,58,2,133745,4,1,0,28373,1
71,813,0,0,29,6,0,1,1,0,33953,0
72,657,1,1,37,0,163607,1,0,1,44203,0
73,604,2,1,25,5,157780,2,1,1,58426,0
74,519,0,0,36,9,0,2,0,1,145562,0
75,735,0,1,21,1,178718,2,1,0,22388,0
76,664,0,0,55,8,0,2,1,1,139161,0
77,678,0,1,32,9,0,1,1,1,148210,0
78,757,1,0,33,5,77253,1,0,1,194239,0
79,416,2,1,41,10,122189,2,1,0,98301,0
80,665,0,1,34,1,96645,2,0,0,171413,0
81,777,0,1,32,2,0,1,1,0,136458,1
82,543,0,1,36,3,0,2,0,0,26019,0
83,506,0,1,34,4,90307,1,1,1,159235,0
84,493,0,1,46,4,0,2,1,0,1907,0
85,652,1,1,75,10,0,2,1,1,114675,0
86,750,1,0,22,3,121681,1,1,0,128643,1
87,729,0,0,30,9,0,2,1,0,151869,0
88,646,0,1,46,4,0,3,1,0,93251,1
89,635,2,1,28,3,81623,2,1,1,156791,0
90,647,1,1,44,5,0,3,1,1,174205,1
91,808,0,0,45,7,118626,2,1,0,147132,0
92,524,0,1,36,10,0,2,1,0,109614,0
93,769,0,0,29,8,0,2,1,1,172290,0
94,730,1,0,42,4,0,2,0,1,85982,0
95,515,1,0,35,10,176273,1,0,1,121277,0
96,773,1,0,41,9,102827,1,0,1,64595,0
97,814,2,0,29,8,97086,2,1,1,197276,0
98,710,1,0,22,8,0,2,0,0,99645,0
99,413,0,0,34,9,0,2,0,0,6534,0
100,665,0,1,40,6,0,1,1,1,161848,0
101,623,0,1,44,6,0,2,0,0,167162,0
102,738,0,0,31,9,82674,1,1,0,41970,0
103,528,1,0,36,7,0,2,1,0,60536,0
104,670,1,1,65,1,0,1,1,1,177655,1
105,622,1,1,46,4,107073,2,1,1,30984,1
106,582,2,0,32,1,88938,1,1,1,10054,0
107,785,2,1,36,2,99806,1,0,1,36976,0
108,605,1,0,33,5,150092,1,0,0,71862,0
109,479,2,0,35,9,92833,1,1,0,99449,1
110,685,2,0,30,3,90536,1,0,1,63082,0
111,538,2,0,39,7,108055,2,1,0,27231,0
112,562,0,0,42,2,100238,1,0,0,86797,0
113,675,1,0,36,9,106190,1,0,1,22994,0
114,721,2,0,28,9,154475,2,0,1,101300,1
115,628,2,1,30,9,132351,2,1,1,74169,0
116,668,2,1,37,6,167864,1,1,0,115638,0
117,506,0,1,41,1,0,2,1,0,31766,0
118,524,2,1,31,8,107818,1,1,0,199725,1
119,699,2,0,34,4,185173,2,1,0,120834,0
120,828,0,0,34,8,129433,2,0,0,38131,0
121,674,1,0,39,6,120193,1,0,0,100130,0
122,656,0,1,39,6,0,2,1,0,141069,0
123,684,2,1,48,10,126384,1,1,1,198129,0
124,625,0,1,28,3,0,1,0,0,183646,0
125,432,0,0,42,9,152603,1,1,0,110265,1
126,549,0,1,52,1,0,1,0,1,8636,1
127,625,2,0,56,0,148507,1,1,0,46824,1
128,828,0,1,41,7,0,2,1,0,171378,0
129,770,0,0,24,9,101827,1,1,0,167256,0
130,758,0,1,34,3,0,2,1,1,124226,0
131,795,2,1,33,9,130862,1,1,1,114935,0
132,687,0,0,38,9,122570,1,1,1,35608,0
133,686,0,0,25,1,0,2,0,1,16459,0
134,789,2,0,39,7,124828,2,1,1,124411,0
135,589,2,1,50,5,144895,2,1,1,34941,0
136,461,2,1,34,5,63663,1,0,1,167784,0
137,637,0,0,40,2,133463,1,0,1,93165,0
138,584,1,1,48,2,213146,1,1,0,75161,1
139,579,1,1,35,1,129490,2,0,1,8590,1
140,756,2,0,44,10,137452,1,1,0,189543,0
141,663,0,0,34,7,0,2,1,1,180427,0
142,682,0,1,43,5,125851,1,1,1,193318,0
143,793,1,0,52,2,0,1,1,0,159123,1
144,691,0,1,31,5,40915,1,1,0,126213,1
145,485,1,1,21,5,113157,1,1,1,54141,0
146,635,1,1,29,8,138296,2,1,0,141075,0
147,650,0,0,37,5,106967,1,0,0,24495,0
148,735,0,0,44,9,120681,1,1,0,74836,0
149,416,0,0,32,0,0,2,0,1,878,0
150,754,1,1,32,7,0,2,1,0,89520,0
151,535,0,1,48,9,0,1,1,0,149892,1
152,716,1,0,42,8,0,2,1,0,180800,0
153,539,0,0,37,2,127609,1,1,0,98646,0
154,614,0,1,43,6,0,2,1,1,109041,0
155,706,1,0,57,7,0,1,1,0,17941,1
156,758,0,1,33,7,0,2,0,0,82996,0
157,586,1,1,28,2,0,2,1,1,92067,0
158,646,0,1,73,6,97259,1,0,1,104719,0
159,631,2,1,33,4,123246,1,0,0,112687,0
160,717,1,1,22,6,101060,1,0,1,84699,0
161,684,0,0,30,2,0,2,1,0,83473,0
162,800,0,1,49,7,108007,1,0,0,47125,0
163,721,1,1,36,2,0,2,1,1,106977,0
164,683,1,0,29,0,133702,1,1,0,55582,1
165,660,2,0,31,9,125189,2,1,1,139874,0
166,704,2,1,24,7,113034,1,1,0,162503,1
167,615,1,1,41,9,109013,1,1,0,196499,0
168,667,1,1,39,2,0,2,1,0,40721,1
169,682,2,0,24,9,57929,2,0,0,53134,0
170,484,0,1,29,4,130114,1,1,0,164017,0
171,628,2,0,27,5,95826,2,1,0,155996,0
172,480,2,0,44,10,129608,1,1,0,5472,1
173,578,0,0,30,4,169462,1,1,0,112187,0
174,512,0,0,40,5,0,2,1,1,146457,0
175,484,1,1,35,7,133868,1,1,1,27286,0
176,510,0,1,30,0,0,2,1,1,130553,0
177,606,2,0,36,5,190479,2,0,0,179351,0
178,597,1,1,40,8,101993,1,0,1,94774,0
179,754,2,1,55,3,161608,1,1,0,8080,1
180,850,1,1,45,2,122311,1,1,1,19482,0
181,510,0,0,65,2,0,2,1,1,48071,0
182,778,2,1,45,1,162150,2,1,0,174531,0
183,636,0,0,42,2,0,2,1,1,55470,0
184,804,0,1,50,4,0,1,1,1,8546,1
185,514,0,0,32,8,0,2,1,0,95857,0
186,730,0,1,39,1,99010,1,1,0,194945,0
187,525,1,1,37,0,0,1,0,1,131521,0
188,616,1,0,30,5,0,2,0,1,196108,0
189,687,2,1,34,7,111388,2,1,0,148564,0
190,715,0,1,41,8,56214,2,0,0,92982,1
191,512,0,1,36,3,84327,2,1,0,17675,0
192,479,0,0,40,1,0,2,0,0,114996,0
193,601,0,0,32,8,93012,1,1,0,86957,0
194,580,1,0,29,9,61710,2,1,0,128077,0
195,807,0,0,35,3,174790,1,1,1,600,0
196,616,1,1,32,6,0,2,1,1,43001,0
